Month,day,tem_high,tem_avg,tem_low,hum_high,hum_avg,hum_low,vis_high,vis_avg,vis_low,wind_high,wind_avg,prep,special
1,1,40,37,33,100,85,70,10,6,2,16,3,0.03,Snow
1,2,34,26,17,85,68,50,10,8,2,22,13,0.02,Snow
1,3,22,20,17,67,56,45,10,9,2,26,14,T,Snow
1,4,30,25,19,62,53,43,10,10,10,17,11,0,
1,5,30,25,20,65,56,47,10,10,10,17,10,T,
1,6,34,30,26,69,58,47,10,10,10,20,10,T,Snow
1,7,37,34,30,69,61,52,10,10,10,16,9,0,
1,8,33,28,23,92,71,50,10,6,1,22,8,0.05,Snow
1,9,30,24,18,62,47,31,10,10,10,17,9,0,
1,10,28,21,14,55,43,31,10,10,10,13,7,0,
1,11,31,26,21,62,51,39,10,10,10,14,7,0,
1,12,35,30,24,58,51,43,10,10,10,18,9,0,
1,13,35,30,24,60,53,46,10,10,10,17,8,0,
1,14,42,36,30,63,52,40,10,10,10,12,3,0,
1,15,50,43,35,57,49,40,10,10,10,16,8,0,
1,16,49,44,38,64,55,45,10,10,10,14,6,0,
1,17,46,41,35,100,79,58,10,5,2,15,4,0.57,Rain
1,18,50,44,37,92,74,56,10,9,3,13,13,0.05,Rain
1,19,48,44,40,79,68,56,10,10,7,13,4,T,
1,20,41,38,34,76,61,45,10,10,10,14,6,0,
1,21,41,36,31,72,55,38,10,10,10,12,3,0,
1,22,44,38,32,64,48,31,10,10,10,14,6,0,
1,23,40,34,28,69,51,33,10,10,10,12,3,0,
1,24,50,41,32,100,82,64,10,8,2,10,2,0.02,Rain
1,25,57,53,49,100,81,61,10,6,0,16,3,1.25,"Fog , Rain"
1,26,49,42,35,65,53,41,10,10,10,20,9,T,Rain
1,27,39,35,31,58,51,44,10,10,10,16,7,0,
1,28,42,31,20,92,62,32,10,7,0,25,9,0.09,"Fog , Snow"
1,29,23,20,16,47,41,34,10,10,10,23,12,0,
1,30,20,17,13,51,45,39,10,10,10,17,9,0,
1,31,30,22,14,55,42,28,10,10,10,12,6,0,
2,1,35,30,25,50,41,32,10,10,10,16,8,0,
2,2,33,30,27,92,64,35,10,8,1,10,4,0.03,Snow
2,3,39,34,29,92,72,52,10,6,1,16,5,0.06,Snow
2,4,37,33,28,63,43,22,10,10,10,17,9,0,
2,5,36,33,29,54,45,36,10,10,10,17,5,0,
2,6,33,27,20,58,49,40,10,8,2,29,14,T,Snow
2,7,34,26,17,56,46,35,10,10,10,17,10,0,
2,8,37,30,23,59,47,35,10,10,10,18,10,0,
2,9,42,35,28,63,51,39,10,9,2,13,5,T,Snow
2,10,34,32,30,92,91,89,9,1,0,24,12,1.33,"Fog , Snow"
2,11,37,33,28,82,63,43,10,10,10,21,12,0,
2,12,37,32,26,63,49,35,10,10,10,15,8,0,
2,13,32,28,24,60,52,43,10,10,10,18,9,0,
2,14,39,34,28,63,54,44,10,10,10,18,9,0,
2,15,40,34,27,89,65,40,10,9,2,15,7,0.01,Snow
2,16,33,31,29,92,84,75,10,3,0,13,6,0.43,"Fog , Snow"
2,17,35,31,26,75,66,56,10,10,9,15,8,0,
2,18,40,36,32,66,59,52,10,10,10,18,10,0,
2,19,43,39,35,59,54,49,10,10,10,23,11,0,
2,20,44,40,35,70,60,49,10,10,10,17,8,0,
2,21,46,40,33,61,45,28,10,10,10,17,10,0,
2,22,45,37,29,76,59,41,10,10,7,14,6,0.03,Rain
2,23,38,37,35,100,93,85,10,4,1,26,14,1.2,Rain
2,24,42,39,36,100,90,79,10,6,2,24,8,0.42,Rain
2,25,38,33,27,100,95,89,10,2,0,15,3,2,"Fog , Rain , Snow"
2,26,33,30,26,100,91,82,10,2,0,8,7,1.17,"Fog , Snow"
