YEAR,Labor Force,Employment,Emp/Pop,Unemployed,Unemp Rate,LFPART,,,,
,(000's),(000's),Ratio (%),(000's),(%),(%),,,,
Jan-76,"3,117.2","2,771.1",48.7,346.1,11.1,54.7,,,,
Feb-76,"3,114.7","2,770.0",48.7,344.7,11.1,54.7,,0.0,,
Mar-76,"3,112.6","2,768.8",48.7,343.8,11.0,54.7,,-0.1,,
Apr-76,"3,111.6","2,767.9",48.7,343.7,11.0,54.7,,0.0,,
May-76,"3,112.0","2,767.2",48.7,344.8,11.1,54.7,,0.1,,
Jun-76,"3,112.0","2,766.0",48.7,346.1,11.1,54.7,,0.0,,
Jul-76,"3,110.0","2,763.2",48.6,346.7,11.1,54.7,,0.0,,
Aug-76,"3,105.0","2,758.7",48.6,346.3,11.2,54.7,,0.1,,
Sep-76,"3,097.2","2,753.0",48.5,344.2,11.1,54.6,,-0.1,,
Oct-76,"3,088.2","2,747.3",48.5,340.8,11.0,54.5,,-0.1,,
Nov-76,"3,080.2","2,743.0",48.5,337.2,10.9,54.4,,-0.1,,
Dec-76,"3,074.1","2,741.0",48.5,333.1,10.8,54.4,,-0.1,,
Jan-77,"3,070.1","2,741.5",48.5,328.6,10.7,54.3,,-0.1,,
Feb-77,"3,066.4","2,743.3",48.6,323.0,10.5,54.3,,-0.2,,
Mar-77,"3,061.4","2,745.0",48.7,316.4,10.3,54.3,,-0.2,,
Apr-77,"3,056.2","2,746.1",48.8,310.1,10.1,54.3,,-0.2,,
May-77,"3,052.4","2,746.7",48.8,305.6,10.0,54.3,,-0.1,,
Jun-77,"3,050.9","2,747.0",48.9,303.9,10.0,54.3,,0.0,,
Jul-77,"3,052.0","2,747.4",48.9,304.6,10.0,54.4,,0.0,,
Aug-77,"3,054.9","2,748.4",49.0,306.5,10.0,54.5,,0.0,,
Sep-77,"3,058.4","2,750.0",49.1,308.5,10.1,54.6,,0.1,,
Oct-77,"3,060.8","2,751.8",49.1,309.0,10.1,54.7,,0.0,,
Nov-77,"3,060.8","2,753.8",49.2,307.0,10.0,54.7,,-0.1,,
Dec-77,"3,059.0","2,755.9",49.3,303.1,9.9,54.7,,-0.1,,
Jan-78,"3,056.4","2,758.6",49.4,297.8,9.7,54.7,,-0.2,,
Feb-78,"3,053.7","2,761.8",49.5,291.9,9.6,54.7,,-0.1,,
Mar-78,"3,051.1","2,765.2",49.6,285.9,9.4,54.7,,-0.2,,
Apr-78,"3,048.3","2,768.0",49.7,280.3,9.2,54.7,,-0.2,,
May-78,"3,045.7","2,770.1",49.8,275.6,9.0,54.7,,-0.2,,
Jun-78,"3,044.0","2,772.0",49.8,272.0,8.9,54.7,,-0.1,,
Jul-78,"3,044.1","2,774.5",49.9,269.6,8.9,54.8,,0.0,,
