zipcode,density,population,zip,num,num/perpson
10001,35350,21102,10001,116,0.005497109278741351
10002,93461,81410,10002,87,0.0010686647831961676
10003,99419,56024,10003,124,0.002213337141225189
10004,5015,3089,10004,4,0.0012949174490126255
10005,92791,7135,10005,7,0.0009810791871058165
10006,27307,3011,10006,3,0.0009963467286615742
10007,39918,6988,10007,24,0.0034344590726960505
10009,101865,61347,10009,78,0.0012714558169103624
10010,78507,31834,10010,50,0.0015706477351259658
10011,79233,50984,10011,79,0.001549505727286992
10012,80873,24090,10012,61,0.00253217102532171
10013,47194,27700,10013,64,0.0023104693140794225
10014,53728,31959,10014,57,0.0017835351544165962
10016,96202,54183,10016,72,0.00132883007585405
10017,50381,16575,10017,29,0.0017496229260935143
10018,21820,5229,10018,68,0.01300439854656722
10019,56459,42870,10019,97,0.0022626545369722416
10021,105558,43631,10021,27,0.0006188260640370379
10022,67873,31924,10022,43,0.001346949003884225
10023,125003,60988,10023,67,0.0010985767692004984
10024,68967,59283,10024,55,0.0009277533188266451
10025,129571,94600,10025,78,0.0008245243128964059
10026,113954,34003,10026,67,0.001970414375202188
10027,71852,59707,10027,105,0.0017585877702781917
10028,140990,45141,10028,29,0.0006424314924348153
10029,93875,76003,10029,158,0.0020788653079483704
10030,102070,26999,10030,44,0.0016296899885180933
10031,90800,56438,10031,80,0.0014174846734469684
10032,90307,57331,10032,49,0.0008546859465210794
10033,97115,53926,10033,56,0.0010384601120053407
10034,36854,38908,10034,59,0.001516397656009047
10035,23985,33969,10035,122,0.0035915099060908474
10036,52183,24711,10036,91,0.003682570515155194
10037,65825,17416,10037,46,0.002641249425815342
10038,67482,20300,10038,29,0.0014285714285714286
10039,57392,24527,10039,33,0.0013454560280507196
10040,118931,41905,10040,43,0.0010261305333492423
10044,51085,11661,10044,1,8.575593859874797e-05
10069,49131,5199,10069,3,0.0005770340450086555
10128,127735,60453,10128,34,0.0005624203927017683
10280,62719,7853,10280,4,0.0005093594804533299
10282,71066,4783,10282,2,0.000418147606104955
10301,10597,39706,10301,51,0.0012844406386944038
10302,14075,19088,10302,21,0.001100167644593462
10303,7821,26337,10303,44,0.0016706534533166269
10304,11119,42193,10304,58,0.0013746356030621193
10305,9880,41749,10305,34,0.0008143907638506312
10306,7480,55909,10306,36,0.0006439034860219285
10307,7557,14096,10307,14,0.0009931895573212259
10308,14666,27357,10308,23,0.0008407354607595862
10309,4859,32519,10309,33,0.0010147913527476244
10310,14051,24962,10310,37,0.001482253024597388
10312,7822,59304,10312,27,0.00045528126264670173
10314,6369,85510,10314,78,0.0009121740147351187
10451,46380,45713,10451,79,0.0017281736048826374
10452,76102,75371,10452,128,0.0016982659112921416
10453,87111,78309,10453,116,0.0014813112158244901
10454,36541,37337,10454,85,0.002276562123362884
10455,54167,39665,10455,127,0.0032018152023194253
10456,86133,86547,10456,151,0.00174471674350353
10457,66223,70496,10457,149,0.00211359509759419
10458,74193,79492,10458,115,0.0014466864590147437
10459,58726,47308,10459,110,0.0023251881288576986
10460,42634,57311,10460,94,0.0016401737886269651
10461,21557,50502,10461,72,0.001425686111441131
10462,52278,75784,10462,85,0.0011216087828565396
10463,48696,67970,10463,91,0.0013388259526261586
10464,1213,4534,10464,8,0.00176444640494045
10465,13081,42230,10465,34,0.0008051148472649775
10466,34986,67813,10466,79,0.0011649683688968193
10467,42376,97060,10467,117,0.0012054399340614053
10468,66796,76103,10468,125,0.0016425108077211148
10469,29007,66631,10469,59,0.000885473728444718
10470,10423,15293,10470,17,0.0011116196952854246
10471,8532,22922,10471,21,0.0009161504231742431
10472,65585,66358,10472,88,0.0013261400283311733
10473,26911,38319,10473,70,0.0018267700096557843
10474,8165,12281,10474,85,0.006921260483673968
10475,25087,40931,10475,41,0.0010016857638464733
11001,12128,26883,11001,2,7.439645872856452e-05
11004,15248,14016,11004,1,7.134703196347032e-05
11040,8411,40782,11040,1,2.4520621842969938e-05
11101,9775,25484,11101,50,0.0019620153822005964
11102,42745,34133,11102,49,0.001435560894149357
11103,53082,38780,11103,33,0.0008509541000515729
11104,66113,27232,11104,20,0.0007344300822561692
11105,22176,38688,11105,23,0.0005944995864350703
11106,43018,38875,11106,39,0.0010032154340836013
11201,38387,51128,11201,94,0.0018385229228602723
11203,37086,76174,11203,107,0.0014046787617822355
11204,50954,78134,11204,39,0.00049914249878414
11205,45332,40366,11205,59,0.0014616261209929148
11206,56833,81677,11206,130,0.0015916353440993181
11207,34630,93386,11207,190,0.0020345662090677404
11208,27047,94469,11208,174,0.0018418740539224508
11209,33587,68853,11209,50,0.0007261847704529941
11210,29792,62008,11210,74,0.0011933944007224875
11211,40583,90117,11211,66,0.0007323812377242918
11212,54957,84500,11212,156,0.0018461538461538461
11213,56882,63767,11213,121,0.0018975332068311196
11214,38060,88630,11214,67,0.000755951709353492
11215,31628,63488,11215,45,0.0007087953629032258
11216,57495,54316,11216,102,0.0018778996980631857
11217,51667,35881,11217,44,0.0012262757448231654
11218,52397,75220,11218,40,0.0005317734645041213
11219,65430,92221,11219,40,0.0004337406881296017
11220,57549,99598,11220,66,0.0006626639089138336
11221,58787,78895,11221,123,0.001559034159325686
11222,22428,36934,11222,41,0.0011100882655547734
11223,35968,78731,11223,40,0.0005080590872718497
11224,27558,47621,11224,72,0.0015119380105415678
11225,66957,56829,11225,96,0.0016892783613999894
11226,76257,101572,11226,131,0.0012897255149056826
11228,29885,41788,11228,23,0.0005503972432277208
11229,37536,80018,11229,56,0.0006998425354295284
11230,45777,86408,11230,39,0.00045134709749097303
11231,24004,33336,11231,54,0.0016198704103671706
11232,22424,28265,11232,33,0.0011675216699097825
11233,50893,67053,11233,167,0.002490567163288742
11234,12492,87757,11234,106,0.0012078808528094625
11235,33223,79132,11235,64,0.0008087752110397816
11236,27041,93877,11236,103,0.0010971803530151155
11237,56624,49896,11237,55,0.0011022927689594356
11238,46936,49262,11238,75,0.0015224716820267143
11239,22038,13393,11239,12,0.0008959904427686105
11354,25961,54878,11354,68,0.001239112212544189
11355,47859,85871,11355,56,0.0006521410022009759
11356,14660,23438,11356,17,0.0007253178598856558
11357,14590,39150,11357,13,0.00033205619412515964
11358,19656,37546,11358,24,0.0006392158951685932
11360,13825,18884,11360,5,0.0002647744122008049
11361,17402,28606,11361,16,0.0005593232189051248
11362,7120,17823,11362,11,0.0006171800482522584
11363,8467,6988,11363,1,0.00014310246136233542
11364,14077,34555,11364,12,0.00034727246418752715
11365,16792,42252,11365,21,0.0004970178926441351
11366,12332,13532,11366,5,0.0003694945314809341
11367,17268,41047,11367,33,0.0008039564401783321
11368,41027,109931,11368,68,0.0006185698301661951
11369,37862,38615,11369,35,0.0009063835297164314
11370,26203,39688,11370,28,0.0007055029227978231
11372,85863,66636,11372,61,0.0009154210937031035
11373,65065,100820,11373,89,0.0008827613568736361
11374,45083,43600,11374,24,0.0005504587155963303
11375,35228,68733,11375,40,0.0005819620851701512
11377,33947,89830,11377,57,0.0006345318935767561
11378,12591,34981,11378,31,0.0008861953631971642
11379,17268,34821,11379,21,0.0006030843456534849
11385,27508,98592,11385,84,0.0008519961051606621
11411,16014,18556,11411,18,0.0009700366458288424
11412,22579,34882,11412,41,0.0011753913193050856
11413,13028,38912,11413,42,0.001079358552631579
11414,12217,26148,11414,17,0.000650145326602417
11415,33697,19341,11415,14,0.0007238508867173362
11416,38983,24861,11416,18,0.0007240255822372391
11417,27706,28967,11417,33,0.0011392273966927882
11418,22552,36256,11418,37,0.0010205207413945278
11419,43560,49211,11419,44,0.0008941090406616406
11420,23311,44354,11420,49,0.0011047481625107093
11421,33063,39127,11421,20,0.0005111559792470672
11422,16787,30425,11422,27,0.0008874281018898932
11423,22415,22987,11423,26,0.0011310740853525906
11426,14468,17590,11426,8,0.00045480386583285955
11427,15758,23593,11427,15,0.0006357817996863476
11428,24389,19168,11428,19,0.0009912353923205342
11429,21737,25105,11429,25,0.0009958175662218682
11432,28703,60809,11432,61,0.0010031409824203653
11433,21148,32687,11433,87,0.002661608590571175
11434,19395,59129,11434,90,0.0015220957567352736
11435,35351,53687,11435,58,0.0010803360217557323
11436,22355,17949,11436,21,0.001169981614574628
11691,21558,60035,11691,75,0.001249271258432581
11692,17698,18540,11692,19,0.0010248112189859763
11693,11367,11916,11693,26,0.002181940248405505
11694,15908,20408,11694,25,0.0012250098000784007
