zip,num
10001,116
10002,87
10003,124
10004,4
10005,7
10006,3
10007,24
10009,78
10010,50
10011,79
10012,61
10013,64
10014,57
10016,72
10017,29
10018,68
10019,97
10020,3
10021,27
10022,43
10023,67
10024,55
10025,78
10026,67
10027,105
10028,29
10029,158
10030,44
10031,80
10032,49
10033,56
10034,59
10035,122
10036,91
10037,46
10038,29
10039,33
10040,43
10044,1
10065,34
10069,3
10075,14
10107,7
10111,1
10128,34
10153,11
10270,1
10280,4
10281,2
10282,2
10301,51
10302,21
10303,44
10304,58
10305,34
10306,36
10307,14
10308,23
10309,33
10310,37
10312,27
10314,78
10451,79
10452,128
10453,116
10454,85
10455,127
10456,151
10457,149
10458,115
10459,110
10460,94
10461,72
10462,85
10463,91
10464,8
10465,34
10466,79
10467,117
10468,125
10469,59
10470,17
10471,21
10472,88
10473,70
10474,85
10475,41
11001,2
11004,1
11040,1
11101,50
11102,49
11103,33
11104,20
11105,23
11106,39
11109,3
11201,94
11203,107
11204,39
11205,59
11206,130
11207,190
11208,174
11209,50
11210,74
11211,66
11212,156
11213,121
11214,67
11215,45
11216,102
11217,44
11218,40
11219,40
11220,66
11221,123
11222,41
11223,40
11224,72
11225,96
11226,131
11228,23
11229,56
11230,39
11231,54
11232,33
11233,167
11234,106
11235,64
11236,103
11237,55
11238,75
11239,12
11249,29
11354,68
11355,56
11356,17
11357,13
11358,24
11360,5
11361,16
11362,11
11363,1
11364,12
11365,21
11366,5
11367,33
11368,68
11369,35
11370,28
11372,61
11373,89
11374,24
11375,40
11377,57
11378,31
11379,21
11385,84
11411,18
11412,41
11413,42
11414,17
11415,14
11416,18
11417,33
11418,37
11419,44
11420,49
11421,20
11422,27
11423,26
11426,8
11427,15
11428,19
11429,25
11432,61
11433,87
11434,90
11435,58
11436,21
11691,75
11692,19
11693,26
11694,25
