date,type,num,quarter,year,month,weekday
2006-01-01,MISDEMEANOR,713.0,1,2006,1,6
2006-01-01,FELONY,400.0,1,2006,1,6
2006-01-01,VIOLATION,171.0,1,2006,1,6
2006-01-02,MISDEMEANOR,633.0,1,2006,1,0
2006-01-02,FELONY,400.0,1,2006,1,0
2006-01-02,VIOLATION,179.0,1,2006,1,0
2006-01-03,FELONY,474.0,1,2006,1,1
2006-01-03,MISDEMEANOR,724.0,1,2006,1,1
2006-01-03,VIOLATION,187.0,1,2006,1,1
2006-01-04,FELONY,494.0,1,2006,1,2
2006-01-04,MISDEMEANOR,862.0,1,2006,1,2
2006-01-04,VIOLATION,175.0,1,2006,1,2
2006-01-05,VIOLATION,209.0,1,2006,1,3
2006-01-05,FELONY,524.0,1,2006,1,3
2006-01-05,MISDEMEANOR,871.0,1,2006,1,3
2006-01-06,VIOLATION,210.0,1,2006,1,4
2006-01-06,MISDEMEANOR,869.0,1,2006,1,4
2006-01-06,FELONY,580.0,1,2006,1,4
2006-01-07,VIOLATION,188.0,1,2006,1,5
2006-01-07,MISDEMEANOR,767.0,1,2006,1,5
2006-01-07,FELONY,395.0,1,2006,1,5
2006-01-08,FELONY,417.0,1,2006,1,6
2006-01-08,MISDEMEANOR,730.0,1,2006,1,6
2006-01-08,VIOLATION,190.0,1,2006,1,6
2006-01-09,MISDEMEANOR,720.0,1,2006,1,0
2006-01-09,FELONY,534.0,1,2006,1,0
2006-01-09,VIOLATION,176.0,1,2006,1,0
2006-01-10,VIOLATION,203.0,1,2006,1,1
2006-01-10,FELONY,498.0,1,2006,1,1
2006-01-10,MISDEMEANOR,881.0,1,2006,1,1
2006-01-11,VIOLATION,213.0,1,2006,1,2
2006-01-11,FELONY,485.0,1,2006,1,2
2006-01-11,MISDEMEANOR,844.0,1,2006,1,2
2006-01-12,VIOLATION,199.0,1,2006,1,3
2006-01-12,FELONY,534.0,1,2006,1,3
2006-01-12,MISDEMEANOR,858.0,1,2006,1,3
2006-01-13,MISDEMEANOR,933.0,1,2006,1,4
2006-01-13,FELONY,602.0,1,2006,1,4
2006-01-13,VIOLATION,216.0,1,2006,1,4
2006-01-14,FELONY,428.0,1,2006,1,5
2006-01-14,MISDEMEANOR,695.0,1,2006,1,5
2006-01-14,VIOLATION,171.0,1,2006,1,5
2006-01-15,FELONY,356.0,1,2006,1,6
2006-01-15,MISDEMEANOR,664.0,1,2006,1,6
2006-01-15,VIOLATION,156.0,1,2006,1,6
2006-01-16,FELONY,361.0,1,2006,1,0
2006-01-16,VIOLATION,170.0,1,2006,1,0
2006-01-16,MISDEMEANOR,660.0,1,2006,1,0
2006-01-17,VIOLATION,191.0,1,2006,1,1
2006-01-17,MISDEMEANOR,775.0,1,2006,1,1
2006-01-17,FELONY,487.0,1,2006,1,1
2006-01-18,FELONY,500.0,1,2006,1,2
2006-01-18,VIOLATION,168.0,1,2006,1,2
2006-01-18,MISDEMEANOR,801.0,1,2006,1,2
2006-01-19,FELONY,535.0,1,2006,1,3
2006-01-19,VIOLATION,198.0,1,2006,1,3
2006-01-19,MISDEMEANOR,821.0,1,2006,1,3
2006-01-20,VIOLATION,193.0,1,2006,1,4
2006-01-20,FELONY,565.0,1,2006,1,4
2006-01-20,MISDEMEANOR,903.0,1,2006,1,4
2006-01-21,MISDEMEANOR,827.0,1,2006,1,5
2006-01-21,VIOLATION,188.0,1,2006,1,5
2006-01-21,FELONY,457.0,1,2006,1,5
2006-01-22,FELONY,361.0,1,2006,1,6
2006-01-22,VIOLATION,186.0,1,2006,1,6
2006-01-22,MISDEMEANOR,697.0,1,2006,1,6
2006-01-23,VIOLATION,196.0,1,2006,1,0
2006-01-23,MISDEMEANOR,792.0,1,2006,1,0
2006-01-23,FELONY,484.0,1,2006,1,0
2006-01-24,VIOLATION,181.0,1,2006,1,1
2006-01-24,MISDEMEANOR,840.0,1,2006,1,1
2006-01-24,FELONY,493.0,1,2006,1,1
2006-01-25,VIOLATION,194.0,1,2006,1,2
2006-01-25,FELONY,525.0,1,2006,1,2
2006-01-25,MISDEMEANOR,792.0,1,2006,1,2
2006-01-26,MISDEMEANOR,745.0,1,2006,1,3
2006-01-26,FELONY,434.0,1,2006,1,3
2006-01-26,VIOLATION,193.0,1,2006,1,3
2006-01-27,MISDEMEANOR,860.0,1,2006,1,4
2006-01-27,VIOLATION,180.0,1,2006,1,4
2006-01-27,FELONY,502.0,1,2006,1,4
2006-01-28,MISDEMEANOR,740.0,1,2006,1,5
2006-01-28,VIOLATION,163.0,1,2006,1,5
2006-01-28,FELONY,431.0,1,2006,1,5
2006-01-29,MISDEMEANOR,662.0,1,2006,1,6
2006-01-29,FELONY,387.0,1,2006,1,6
2006-01-29,VIOLATION,173.0,1,2006,1,6
2006-01-30,FELONY,450.0,1,2006,1,0
2006-01-30,MISDEMEANOR,724.0,1,2006,1,0
2006-01-30,VIOLATION,215.0,1,2006,1,0
2006-01-31,FELONY,415.0,1,2006,1,1
2006-01-31,MISDEMEANOR,698.0,1,2006,1,1
2006-01-31,VIOLATION,183.0,1,2006,1,1
2006-02-01,VIOLATION,202.0,1,2006,2,2
2006-02-01,FELONY,598.0,1,2006,2,2
2006-02-01,MISDEMEANOR,972.0,1,2006,2,2
2006-02-02,FELONY,471.0,1,2006,2,3
2006-02-02,MISDEMEANOR,882.0,1,2006,2,3
2006-02-02,VIOLATION,209.0,1,2006,2,3
2006-02-03,VIOLATION,208.0,1,2006,2,4
2006-02-03,FELONY,523.0,1,2006,2,4
2006-02-03,MISDEMEANOR,891.0,1,2006,2,4
2006-02-04,VIOLATION,183.0,1,2006,2,5
2006-02-04,FELONY,409.0,1,2006,2,5
2006-02-04,MISDEMEANOR,796.0,1,2006,2,5
2006-02-05,FELONY,343.0,1,2006,2,6
2006-02-05,MISDEMEANOR,679.0,1,2006,2,6
