zipcode,Median Household income,Per-capital Income
11359,"68,684",0
10454,26048,11583
10474,"27,424",11884
10455,"26,186",12279
10453,0,12377
10456,24790,12533
10459,26585,12847
10457,20210,12997
10460,23095,13171
10452,24750,13255
10472,"34,252","14,443"
11219,"40,635","14,808"
10457,23209,14972
11368,"103,716","15,834"
11212,34784,"15,853"
11208,"45,936","16,010"
10478,23761,16383
11220,"47,107","16,447"
10451,23956,16487
11207,"45,760","16,907"
10467,23253,17540
11239,"42,127","17,659"
11206,"47,575","18,109"
11691,"80,222","18,571"
11213,35117,"18,722"
11355,"66,007","19,180"
11433,"72,486","19,200"
10032,"61,480","19,479"
10473,"34,701","19,521"
11233,"35,698","19,798"
10466,"28,207","20,009"
11237,"48,013","20,036"
11370,"105,500","20,057"
11419,"100,859","20,109"
11221,"47,588","20,119"
10035,"53,281","20,371"
11204,"39,168","20,456"
11232,"47,264","20,530"
11692,"80,235","20,644"
11416,"96,667","20,849"
11369,"104,826","21,184"
11373,"109,818","21,324"
10303,"113,839","21,408"
11432,"72,477","21,903"
11224,"42,581","22,123"
10039,"51,123","22,260"
11203,"44,923","22,342"
11226,"45,004","22,365"
11420,"101,150","22,502"
11418,"100,200","22,529"
11428,"89,219","22,940"
11223,"42,478","23,144"
10469,"29,308","23,173"
10462,"33,558","23,220"
10034,"62,057","23,256"
10302,"112,869","23,486"
11421,"101,718","23,538"
10031,"60,996","23,542"
11354,"65,258","23,633"
11435,"73,750","23,672"
11230,"40,782","23,673"
11377,"111,478","23,745"
11434,"72,782","23,804"
10030,"50,485","23,818"
10040,"62,179","23,847"
10033,"61,646","23,904"
11436,"73,776","23,910"
11214,"37,280","23,982"
11417,"98,151","24,249"
11356,"67,151","24,718"
11429,"91,383","25,051"
11385,"79,686","25,100"
11236,"42,023","25,115"
11225,"44,950","25,206"
10029,"52,686","25,697"
11372,"106,421","25,805"
11412,"72,414","25,833"
10037,"50,702","25,883"
11210,"44,933","26,002"
11367,"72,409","26,129"
10475,"31,350","26,262"
11423,"72,458","26,278"
11218,"39,774","26,522"
11205,"43,399","26,776"
10461,"33,196","26,828"
10027,"50,436","26,953"
11693,"81,149","27,294"
11229,"42,818","27,330"
10301,"126,378","27,485"
10002,"57,207","27,867"
11422,"87,091","28,435"
11365,"71,115","28,720"
10470,"30,779","28,806"
10304,"145,432","28,842"
11427,"87,509","28,860"
11413,"86,801","28,943"
11235,"42,964","29,254"
11228,"38,893","29,445"
11102,"75,094","29,517"
11426,"87,174","29,612"
11216,"35,491","29,655"
10305,"250,001","29,938"
11378,"111,691","30,288"
11358,"68,374","30,752"
11366,"71,551","30,870"
11234,"41,068","31,083"
10465,"33,745","31,168"
11411,"86,758","31,421"
11104,"75,966","31,756"
10463,27912,"32,159"
10026,"49,828","32,424"
11106,"76,857","32,723"
11374,"77,146","32,731"
11103,"75,208","33,013"
11211,"46,200","33,028"
10307,"115,076","33,068"
11379,"79,158","33,256"
10314,,"33,798"
11361,"62,761","34,071"
11414,"93,333","34,333"
11364,"64,250","34,465"
11105,"76,379","35,004"
11357,"68,080","35,216"
11415,"94,022","35,221"
10306,"114,939","35,632"
10308,"119,691","35,768"
10312,"124,194","35,984"
11101,"74,065","36,573"
10309,"123,691","36,925"
11004,"84,955","37,119"
11209,"36,764","38,077"
10464,"33,726","38,931"
11694,"81,287","39,931"
11362,"63,756","40,211"
11697,"84,584","42,135"
11238,"35,974","42,536"
11222,"46,560","42,785"
11363,"64,005","42,925"
11360,"70,873","43,302"
10471,"28,006","43,332"
10009,"57,706","44,839"
11375,"77,331","44,879"
10044,"58,392","48,285"
11231,"44,911","56,129"
11217,"44,741","56,447"
10025,"59,660","58,664"
11215,"44,474","60,565"
10310,"113,973","68,080"
11201,"43,019","68,420"
11005,"85,968","70,911"
10036,"52,553","73,546"
10012,"54,406","77,687"
10018,"52,168","79,765"
10003,"57,565","80,936"
10001,"51,568","80,990"
10010,"53,427","82,453"
10016,"54,106","88,937"
10019,"52,310","89,202"
10004,"55,331","90,205"
10128,"59,090","90,805"
10006,"56,482","96,121"
10005,"56,120","96,940"
10024,"59,520","101,201"
10017,"54,109","102,122"
10023,"59,243","103,249"
10013,"54,605","105,629"
10028,"58,266","110,585"
10014,"55,294","112,694"
10011,"52,132","114,034"
10075,"58,894","114,620"
10065,"58,705","115,637"
10021,"58,076","119,996"
10038,"57,127","122,181"
10022,"54,170","139,507"
10007,"56,557","184,886"
10280,"57,194","193,651"
11695,"83,310",
